[0.000000] (-) TimerEvent: {}
[0.000467] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000768] (-) JobUnselected: {'identifier': 'action_tutorials_interfaces'}
[0.000809] (-) JobUnselected: {'identifier': 'action_tutorials_py'}
[0.000825] (-) JobUnselected: {'identifier': 'composition'}
[0.000839] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000853] (-) JobUnselected: {'identifier': 'demo_nodes_cpp'}
[0.000865] (-) JobUnselected: {'identifier': 'demo_nodes_cpp_native'}
[0.000877] (-) JobUnselected: {'identifier': 'demo_nodes_py'}
[0.000890] (-) JobUnselected: {'identifier': 'dummy_map_server'}
[0.000902] (-) JobUnselected: {'identifier': 'dummy_robot_bringup'}
[0.000914] (-) JobUnselected: {'identifier': 'dummy_sensors'}
[0.000927] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000939] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000952] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000965] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000977] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000990] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001002] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001014] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001034] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001047] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001059] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001071] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001083] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001095] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001107] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001120] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001132] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001144] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001156] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001168] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001180] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001192] (-) JobUnselected: {'identifier': 'image_tools'}
[0.001204] (-) JobUnselected: {'identifier': 'intra_process_demo'}
[0.001216] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001228] (-) JobUnselected: {'identifier': 'lifecycle'}
[0.001240] (-) JobUnselected: {'identifier': 'lifecycle_py'}
[0.001252] (-) JobUnselected: {'identifier': 'logging_demo'}
[0.001264] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.001276] (-) JobUnselected: {'identifier': 'pendulum_control'}
[0.001288] (-) JobUnselected: {'identifier': 'pendulum_msgs'}
[0.001300] (-) JobUnselected: {'identifier': 'quality_of_service_demo_cpp'}
[0.001312] (-) JobUnselected: {'identifier': 'quality_of_service_demo_py'}
[0.001324] (-) JobUnselected: {'identifier': 'rascl_clock'}
[0.001336] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.001348] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.001360] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.001372] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.001385] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.001397] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.001408] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.001420] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.001432] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_16'}
[0.001444] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_17'}
[0.001456] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.001468] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.001490] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.001503] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.001515] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.001528] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.001540] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.001552] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.001564] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.001576] (-) JobUnselected: {'identifier': 'topic_monitor'}
[0.001588] (-) JobUnselected: {'identifier': 'topic_statistics_demo'}
[0.001601] (-) EventReactorShutdown: {}
